Variable,N,ADF_stat,ADF_p,ADF_lag,PP_HAC_stat,PP_p_approx,PP_lag,KPSS_stat,KPSS_p,KPSS_lags,Decision
Brent_Return,1356,-7.311801985173697,1.258685198230781e-10,18,-27.67051416183983,0.0,7,0.1390050980035492,0.1,6,Stationary
WTI_Return,1341,-8.726249001791942,3.282613578287377e-14,15,-28.55454423448851,0.0,7,0.1304045474456242,0.1,2,Stationary
OVX_Change,1253,-15.66760276331692,1.52667589132415e-28,7,-23.84002004937838,0.0,7,0.04471529813903959,0.1,4,Stationary
VIX_Change,1281,-15.32147022837057,4.058695498248414e-28,7,-21.4001008819103,0.0,7,0.01624519279251763,0.1,19,Stationary
BDI_Return,1338,-14.77565154103462,2.286430172473521e-27,2,-15.17214488547422,6.368637027415797e-28,7,0.04695238252644596,0.1,15,Stationary
BDTI_Return,1046,-10.78882491559901,2.159295735257566e-19,7,-5.090732925415326,1.463314240757898e-05,6,0.09032048907164633,0.1,15,Stationary
USDTRY_Return,1402,-7.79221560499132,7.88668913753413e-12,22,-10.50073631095747,1.085719310011382e-18,7,0.3370975923848691,0.1,13,Stationary
BIST100_Return,1344,-14.16489376234128,2.050473472198656e-26,4,-23.32057234033089,0.0,7,0.1162398760819451,0.1,9,Stationary
USDINR_Return,1401,-37.30786572097289,0.0,0,-30.86055812497421,0.0,7,0.1320293225548412,0.1,4,Stationary
NIFTY50_Return,1325,-17.96082865430768,2.817335392119349e-30,3,-23.00196326263328,0.0,7,0.119683196102404,0.1,2,Stationary
USDJPY_Return,1402,-37.60938420886476,0.0,0,-34.66514913026989,0.0,7,0.1722067923982209,0.1,3,Stationary
NIKKEI225_Return,1315,-22.70664496747487,0.0,2,-22.849238380282,0.0,7,0.2029560638135947,0.1,6,Stationary
USDCNY_Return,1402,-7.745405888696885,1.035192586006268e-11,14,-26.89345665002837,0.0,7,0.3322234709695299,0.1,8,Stationary
SSE_Return,1297,-15.2063586594239,5.735361674030097e-28,6,-21.60387470461363,0.0,7,0.1980011210124846,0.1,1,Stationary
