Model,Dependent,Term,Coef,Robust_SE_HC3,t,p_value,N,R2,Adj_R2
10A_OVX_CCI,Financial vulnerability,OVX_x_CCI,-0.0009023458211220446,0.01662652639779181,-0.05427145752115044,0.9567188896266876,6050,0.1382857780166067,0.1360004427685154
10A_OVX_CCI,Financial vulnerability,OVX_Change,0.002087898487848325,0.00894359331135136,0.233451859354822,0.8154105474670565,6050,0.1382857780166067,0.1360004427685154
10A_OVX_CCI,Financial vulnerability,CGRI_Equal_Weighted,0.1840668942127469,0.02689183583852852,6.844712845860462,7.662942491501585e-12,6050,0.1382857780166067,0.1360004427685154
10A_OVX_CCI,Financial vulnerability,CCI_Baseline_Recomputed,-35.55772068662323,2.215101387339266,-16.05241226873793,5.498477574346443e-58,6050,0.1382857780166067,0.1360004427685154
10B_BDI_CCI,Financial vulnerability,BDI_x_CCI,-0.02265802218800839,0.01283810012300855,-1.764904617576591,0.07757979751940951,6050,0.138654016180502,0.1363696575295634
10B_BDI_CCI,Financial vulnerability,BDI_Return,0.007558780643901802,0.007136163883254489,1.05922184069217,0.2894987605602402,6050,0.138654016180502,0.1363696575295634
10B_BDI_CCI,Financial vulnerability,CGRI_Equal_Weighted,0.1840501684594418,0.02685885488348044,6.852494987514975,7.257293040089185e-12,6050,0.138654016180502,0.1363696575295634
10B_BDI_CCI,Financial vulnerability,CCI_Baseline_Recomputed,-35.45834612044702,2.218805133160561,-15.98082931687589,1.738179440124354e-57,6050,0.138654016180502,0.1363696575295634
10B_BDTI_CCI,Financial vulnerability,BDTI_x_CCI,-0.04850143872442474,0.02404103488412552,-2.017443881188768,0.04364921185690495,4620,0.1617077526019398,0.1589765658706255
10B_BDTI_CCI,Financial vulnerability,BDTI_Return,0.03119637767828784,0.01382854312236788,2.255941020122881,0.02407432510834036,4620,0.1617077526019398,0.1589765658706255
10B_BDTI_CCI,Financial vulnerability,CGRI_Equal_Weighted,-0.08844398760954275,0.0366372872765556,-2.414043019668068,0.01577659949499584,4620,0.1617077526019398,0.1589765658706255
10B_BDTI_CCI,Financial vulnerability,CCI_Baseline_Recomputed,-32.51792164390389,2.898680894644239,-11.21817917383931,3.320364688543146e-29,4620,0.1617077526019398,0.1589765658706255
10C_CGRI_Max_CCI,Financial vulnerability,CGRI_Max_x_CCI,-0.1073774352663253,0.07454943219997998,-1.440352154236181,0.1497677928760944,6050,0.1358402321601085,0.1335484111282109
10C_CGRI_Max_CCI,Financial vulnerability,CGRI_Max_Component,0.1375697390204,0.04135512278590767,3.326546501447671,0.0008792934721060293,6050,0.1358402321601085,0.1335484111282109
10C_CGRI_Max_CCI,Financial vulnerability,CCI_Baseline_Recomputed,-34.69199125658121,2.328262395813097,-14.90037863385487,3.277170863493108e-50,6050,0.1358402321601085,0.1335484111282109
10D_China_Excluded,Financial vulnerability,CGRI_x_CCI,-1.091788621954673,0.1385487125737987,-7.880178759316333,3.269130474079952e-15,4840,0.1337731076055481,0.1310796160247195
