Model,Dependent,Term,Coef,Robust_SE_HC3,t,p_value,N,R2,Adj_R2
10C_CGRI_Max_CCI,Financial vulnerability,CGRI_Max_x_CCI,-0.1073774352663253,0.07454943219997998,-1.440352154236181,0.1497677928760944,6050,0.1358402321601085,0.1335484111282109
10C_CGRI_Max_CCI,Financial vulnerability,CGRI_Max_Component,0.1375697390204,0.04135512278590767,3.326546501447671,0.0008792934721060293,6050,0.1358402321601085,0.1335484111282109
10C_CGRI_Max_CCI,Financial vulnerability,CCI_Baseline_Recomputed,-34.69199125658121,2.328262395813097,-14.90037863385487,3.277170863493108e-50,6050,0.1358402321601085,0.1335484111282109
10C_CGRI_Max_CCI,Abs-return vulnerability,CGRI_Max_x_CCI,-0.18810805811138,0.08109615137886385,-2.319568252167473,0.02036424495461144,5504,0.03026517472237622,0.02743744423131689
10C_CGRI_Max_CCI,Abs-return vulnerability,CGRI_Max_Component,0.1377119083749826,0.04741079414988499,2.904653061486773,0.003676603871189748,5504,0.03026517472237622,0.02743744423131689
10C_CGRI_Max_CCI,Abs-return vulnerability,CCI_Baseline_Recomputed,-13.43416277867583,2.624362437504617,-5.119019608987295,3.071280307753983e-07,5504,0.03026517472237622,0.02743744423131689
10C_CGRI_Max_CCI,FX volatility,CGRI_Max_x_CCI,-0.09368300874975596,0.06420527755349549,-1.45911694987534,0.1445329217970772,6050,0.1540999175629668,0.1518565226816486
10C_CGRI_Max_CCI,FX volatility,CGRI_Max_Component,0.05071797406054809,0.04202150915580678,1.206952703019224,0.2274503592222484,6050,0.1540999175629668,0.1518565226816486
10C_CGRI_Max_CCI,FX volatility,CCI_Baseline_Recomputed,-61.25782437875303,2.868424835467188,-21.35591061035274,3.436091951188879e-101,6050,0.1540999175629668,0.1518565226816486
10C_CGRI_Max_CCI,Stock volatility,CGRI_Max_x_CCI,-0.1210718617828954,0.1212325365472212,-0.9986746564173122,0.3179523215868638,6050,0.07741981895520555,0.0749730623006859
10C_CGRI_Max_CCI,Stock volatility,CGRI_Max_Component,0.2244215039802518,0.06097390526656791,3.680615551835131,0.0002326715889036233,6050,0.07741981895520555,0.0749730623006859
10C_CGRI_Max_CCI,Stock volatility,CCI_Baseline_Recomputed,-8.126158134409398,3.024600164936282,-2.68668838566323,0.007216424157521105,6050,0.07741981895520555,0.0749730623006859
